"Light Green: Default soundslots
Dark green: Advanced soundslots
Orange: BG2EE soundslots that work in BGEE
Red: Does not trigger for custom player characters
NOTE: You can also find all filled “SLOT-NAME” cells for some voices in the game’s CHARSND.2DA file (v2.6.6.0).";;;;
POSITION;"     Example MALE/ DEFAULT     
In Character Creation";SLOT-NAME;EVENT TRIGGER;POSTFIX
1;-1;MORALE;"Moral failure is triggered, e.g. because of
low hit points";u_
2;-1;HAPPY;Matches with the party's reputation;r_
3;-1;UNHAPPY_ANNOYED;"„Slightly“ inconsistent 
With the party's reputation";5_
4;-1;UNHAPPY_SERIOUS;"„Strongly“ incompatible 
with the party's reputation";6_
5;-1;UNHAPPY_BREAKING_POINT;"Not at all compatible 
With the party's reputation";j_
6;89115;LEADER;"The specific character portrait is 
Dragged and dropped to the very top";b
7;89116;TIRED;"Character is tired
e.g. after a long journey without a break";c
8;89117;BORED;The character stands still for a while;d
9;89114;BATTLE_CRY1;A creature is attacked;a
10;89114;BATTLE_CRY2;A creature is attacked;8
11;89114;BATTLE_CRY3;A creature is attacked;9
12;-1;BATTLE_CRY4;A creature is attacked;g_
13;-1;BATTLE_CRY5;A creature is attacked;h_
14;-1;;;
15;-1;;;
16;-1;;;
17;-1;;;
18;89125;DAMAGE;Character is hit;l
19;89126;DYING;"Character is hit and
His hit points become zero";m
20;89118;HURT;"Character is hit and
His hit points become very low";e
21;-1;AREA_FOREST;"There's a chance the character will say it
when he is in forest";n
22;-1;AREA_CITY;"There's a chance the character will say it
when he is in city";o
23;-1;AREA_DUNGEON;"There's a chance the character will say it
when he is in dungeon";p
24;-1;AREA_DAY;"There's a chance the character will say it
when it's day in the game";q
25;-1;AREA_NIGHT;"There's a chance the character will say it
when it's night in the game";r
26;89119;SELECT_COMMON1;"The character is selected
e.g. with a left mouse click";f
27;89120;SELECT_COMMON2;"The character is selected
e.g. with a left mouse click";g
28;89121;SELECT_COMMON3;"The character is selected
e.g. with a left mouse click";h
29;-1;SELECT_COMMON4;"The character is selected
e.g. with a left mouse click";0
30;-1;SELECT_COMMON5;"The character is selected
e.g. with a left mouse click";k_
31;-1;SELECT_COMMON6;"The character is selected
e.g. with a left mouse click";l_
32;89122;SELECT_ACTION1;"After selecting the character, 
Move it to another position";i
33;89123;SELECT_ACTION2;"After selecting the character, 
Move it to another position";j
34;89124;SELECT_ACTION3;"After selecting the character, 
Move it to another position";k
35;89127;SELECT_ACTION4;"After selecting the character, 
Move it to another position";s
36;89128;SELECT_ACTION5;"After selecting the character, 
Move it to another position";t
37;89129;SELECT_ACTION6;"After selecting the character, 
Move it to another position";u
38;89130;SELECT_ACTION7;"After selecting the character, 
Move it to another position";v
39;-1;;;
40;-1;;;
41;-1;;;
42;-1;;;
43;-1;;;
44;-1;;;
45;-1;;;
46;-1;;;
47;-1;;;
48;-1;;;
49;-1;;;
50;-1;;;
51;-1;;;
52;-1;;;
53;-1;REACT_TO_DIE_GENERAL;Happens when a party member dies;w
54;-1;;;
55;-1;;;
56;-1;;;
57;-1;;;
58;-1;;;
59;-1;;;
60;-1;;;
61;-1;;;
62;-1;;;
63;89131;SELECT_RARE1;"After selecting the character, 
Move it to another position";w_
64;89132;SELECT_RARE2;"After selecting the character, 
Move it to another position";x_
65;89133;CRITICAL_HIT;"When the character attacks 
With a critical hit";z
66;100313;CRITICAL_MISS;"When the character attacks 
With a critical miss";1
67;100314;TARGET_IMMUNE;"When the character attacks
And the target is immune to its attacks";2
68;100315;INVENTORY_FULL;"When the character's backpack is full
And the player still tries 
To select an item 
Into the character’s inventory";3
69;100316;PICKED_POCKET;"If the character steals successfully
From another creature";4
70;100317;HIDDEN_IN_SHADOWS;If the character hides successfully;5
71;100318;SPELL_DISRUPTED;"When the character is disturbed
at spell casting,
e.g. by an enemy attack or a
Disruptive state";6
72;100319;SET_A_TRAP;If the character sets a trap successfully;7
73;-1;;;
74;-1;;;
75;-1;BG2EE_SELECT_RARE1;"The character is repeatedly selected
 e.g. with a left mouse click
";0_
76;-1;BG2EE_SELECT_RARE2;"The character is repeatedly selected
 e.g. with a left mouse click
";1_
77;-1;BG2EE_SELECT_RARE3;"The character is repeatedly selected
 e.g. with a left mouse click
";2_
78;-1;BG2EE_SELECT_RARE4;"The character is repeatedly selected
 e.g. with a left mouse click
";3_
79;-1;;;
80;-1;;;
81;-1;;;
82;-1;;;
83;-1;;;
84;-1;;;
85;-1;;;
86;-1;;;
87;-1;;;
88;-1;;;
89;-1;;;
90;-1;;;
91;-1;;;
92;-1;;;
93;-1;;;
94;-1;;;
95;-1;;;
96;-1;;;
97;-1;;;
98;-1;;;
99;-1;;;
